BSSID, time, power, channel, sequence, essid_length, ESSID
9C:4E:20:73:05:14, 2012-02-26 12:17:00, -87, 6, 2596, 5, GTwpawÀ¿ï(U·P Ÿ	
00:18:F8:CB:1C:6A, 2012-02-26 12:17:00, -83, 6, 2145, 6, WODNETwÀ¿ï(U·P Ÿ	
9C:4E:20:C9:46:B4, 2012-02-26 12:17:00, -69, 6, 483, 5, GTwpaTwÀ¿ï(U·P Ÿ	
00:1C:10:5A:B6:D7, 2012-02-26 12:17:00, -87, 6, 1585, 8, palantir¿ï(U·P Ÿ	
9C:4E:20:C9:46:B7, 2012-02-26 12:17:00, -71, 6, 485, 9, GTvisitorï(U·P Ÿ	
00:16:9C:49:28:11, 2012-02-26 12:17:00, -85, 6, 2365, 10, GTwireless(U·P Ÿ	
00:16:9C:49:28:14, 2012-02-26 12:17:00, -85, 6, 2366, 5, GTwpaeless(U·P Ÿ	
08:1F:F3:E1:90:44, 2012-02-26 12:17:00, -76, 1, 2261, 5, GTwpaeless(U·P Ÿ	
9C:4E:20:C9:43:17, 2012-02-26 12:17:00, -81, 1, 2629, 9, GTvisitors(U·P Ÿ	
08:1F:F3:E1:90:41, 2012-02-26 12:17:00, -79, 1, 2262, 10, GTwireless
08:1F:F3:E1:90:47, 2012-02-26 12:17:00, -79, 1, 2263, 9, GTvisitors
9C:4E:20:C9:43:14, 2012-02-26 12:17:00, -80, 1, 2630, 5, GTwpaitors
1C:17:D3:33:1A:74, 2012-02-26 12:17:01, -86, 1, 1495, 5, GTwpaitors
9C:4E:20:C9:43:11, 2012-02-26 12:17:01, -80, 1, 2631, 10, GTwireless
1C:17:D3:33:1A:71, 2012-02-26 12:17:01, -87, 1, 1496, 10, GTwireless
1C:17:D3:33:1A:77, 2012-02-26 12:17:01, -86, 1, 1497, 9, GTvisitor
00:15:C7:AA:D1:A7, 2012-02-26 12:17:01, -86, 1, 1711, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-02-26 12:17:01, -86, 1, 1713, 10, GTwireless
9C:4E:20:C9:43:57, 2012-02-26 12:17:01, -85, 6, 2983, 9, GTvisitor
9C:4E:20:C9:46:B1, 2012-02-26 12:17:01, -67, 6, 520, 10, GTwireless
9C:4E:20:C9:43:54, 2012-02-26 12:17:02, -83, 6, 2984, 5, GTwpaeless
9C:4E:20:C9:43:51, 2012-02-26 12:17:02, -83, 6, 2985, 10, GTwireless
9C:4E:20:73:05:11, 2012-02-26 12:17:02, -85, 6, 2630, 10, GTwireless
